Geno,Block,Row,Col,BS_100902,BS_100916,BS_101001,BSav_2010
BESC-41,1,C,3,4,6,6,5.333333333
GW-9967,1,C,4,2,5,6,4.333333333
HOMC-21-5,1,C,6,6,6,6,6
LILC-26-3,1,C,7,6,6,6,6
DENC-17-1,1,C,8,6,6,6,6
GW-9960,1,C,9,5,6,6,5.666666667
BESC-304,1,C,10,3,5,6,4.666666667
GW-9762,1,C,11,1,4,6,3.666666667
SQMA-25-1,1,C,12,6,6,6,6
DEND-17-1,1,C,13,6,6,6,6
GW-11019,1,C,14,3,5,6,4.666666667
HRSO-27-1,1,C,15,2,5,6,4.333333333
GW-9842,1,C,16,5,6,6,5.666666667
GW-9827,1,C,17,1,3,5,3
BESC-72,1,C,18,2,4,6,4
GW-9824,1,C,19,1,3,5,3
GW-9810,1,C,20,1,3,5,3
GW-9847,1,C,21,1,3,5,3
LILD-26-4,1,C,22,5,6,6,5.666666667
GW-9798,1,C,23,3,6,6,5
GW-9767,1,C,24,2,3,5,3.333333333
GW-9580,1,C,25,1,3,5,3
VNDL-27-1,1,C,26,2,5,6,4.333333333
GW-9765,1,C,27,2,5,6,4.333333333
GW-9826,1,C,28,2,5,6,4.333333333
LILD-26-3,1,C,29,5,6,6,5.666666667
BESC-451,1,C,31,5,6,6,5.666666667
GW-9821,1,C,32,1,4,6,3.666666667
KLND-20-2,1,C,33,6,6,6,6
GW-9587,1,C,34,1,5,6,4
LILC-26-4,1,C,35,2,4,6,4
GW-9789,1,C,36,2,5,6,4.333333333
BESC-125,1,C,37,2,5,6,4.333333333
GW-9895,1,C,38,1,3,6,3.333333333
LILA-26-1,1,C,39,5,6,6,5.666666667
GW-9582,1,C,42,1,3,5,3
GW-9886,1,C,43,4,6,6,5.333333333
GW-7981,1,C,44,1,3,5,3
BESC-5,1,C,45,3,5,6,4.666666667
WHTE-28-4,1,C,46,5,6,6,5.666666667
GW-9582,1,C,47,1,3,5,3
GW-10072,1,C,48,6,6,6,6
GW-9804,1,C,49,5,6,6,5.666666667
YALE-27-1,1,C,50,5,6,6,5.666666667
GW-9971,1,C,51,5,6,6,5.666666667
GLCB-26-3,1,C,52,6,6,6,6
GW-9799,1,C,53,1,6,6,4.333333333
KTMA-12-4,1,C,55,6,6,6,6
BESC-152,1,C,56,3,6,6,5
BESC-60,1,C,57,1,3,5,3
GW-9785,1,C,58,1,3,5,3
GW-9773,1,C,59,5,6,6,5.666666667
BESC-280,1,C,60,1,4,6,3.666666667
BESC-106,1,C,61,6,6,6,6
DENB-17-4,1,C,62,6,6,6,6
GW-9806,1,C,65,1,3,5,3
GW-9787,1,C,66,3,6,6,5
GW-9786,1,C,67,2,5,6,4.333333333
GW-9835,1,D,3,1,5,6,4
GW-9833,1,D,4,1,3,5,3
GW-7992,1,D,5,5,6,6,5.666666667
SQMB-25-4,1,D,6,5,6,6,5.666666667
BESC-33,1,D,7,3,6,6,5
GW-9840,1,D,8,3,6,6,5
GW-9883,1,D,9,2,6,6,4.666666667
GW-9830,1,D,10,4,6,6,5.333333333
BESC-895,1,D,11,5,6,6,5.666666667
BESC-361,1,D,12,6,6,6,6
BESC-279,1,D,13,5,6,6,5.666666667
BESC-179,1,D,14,1,6,6,4.333333333
BESC-95,1,D,15,3,6,6,5
BESC-177,1,D,17,4,6,6,5.333333333
CNYH-28-4,1,D,18,5,6,6,5.666666667
BESC-426,1,D,19,3,6,6,5
KLNB-20-2,1,D,20,6,6,6,6
BESC-36,1,D,22,4,6,6,5.333333333
BESC-166,1,D,23,1,3,5,3
BESC-297,1,D,24,3,6,6,5
GW-9882,1,D,25,3,6,6,5
GW-9821,1,D,26,1,5,6,4
BESC-181,1,D,27,4,6,6,5.333333333
BESC-174,1,D,28,2,6,6,4.666666667
WELC-27-4,1,D,29,1,6,6,4.333333333
BESC-246,1,D,30,1,5,6,4
GW-9822,1,D,31,1,5,6,4
BESC-405,1,D,32,5,6,6,5.666666667
BESC-130,1,D,33,1,5,6,4
