Block,Row,Col,Geno,BF_2010
1,4,35,DEND-17-4,0
1,4,25,WHTE-28-1,0
1,4,5,BESC-402,0
1,5,35,CA-04-03,0
1,7,5,BESC-277,0
1,7,6,KTMA-12-2,0
1,9,25,BESC-155,0
1,10,35,CA-01-04,0
1,11,21,CA-02-04,0
1,13,28,CA-04-02,0
1,14,11,CA-04-01,0
1,15,29,CA-04-04,0
1,19,25,CA-02-01,0
1,19,28,GW-9802,0
1,19,35,CA-01-03,0
1,31,16,GW-11053,0
1,32,34,NHTB-27-3,0
1,32,15,CA-05-05,0
1,32,9,BESC-459,0
1,33,33,FNYI-28-4,0
1,35,8,CA-02-02,0
2,38,31,GW-9784,0
2,38,20,CA-05-04,0
2,38,19,CA-04-01,0
2,38,18,CA-04-04,0
2,38,16,YALD-27-2,0
2,39,5,DEND-17-4,0
2,39,8,SLMB-28-4,0
2,39,20,KTMC-12-5,0
2,39,30,SLMB-28-2,0
2,40,34,SLMC-28-1,0
2,41,8,GW-11053,0
2,41,25,GW-10999,0
2,42,30,CA-03-01,0
2,42,29,WELC-27-5,0
2,42,13,BESC-395,0
2,43,17,GW-9847,0
2,44,13,DEND-17-1,0
2,46,34,CA-05-01,0
2,47,17,SLMD-28-4,0
2,48,35,HARC-26-4,0
2,48,31,BESC-194,0
2,48,11,GW-9869,0
2,48,5,FNYI-28-4,0
2,49,11,BESC-264,0
2,49,21,CNYH-28-4,0
2,50,18,KTMA-12-2,0
2,51,26,BESC-840,0
2,52,31,CA-01-02,0
2,52,30,GW-7975,0
2,52,25,SLMC-28-2,0
2,52,21,BESC-159,0
2,53,31,KLNC-20-2,0
2,53,33,GLCA-26-1,0
2,54,18,KTMC-12-2,0
2,55,4,GW-9791,0
2,55,28,KLNA-20-5,0
2,55,33,GW-9817,0
2,57,6,BESC-171,0
2,57,14,GW-9596,0
2,58,12,NHTA-27-4,0
2,59,9,GW-9801,0
2,59,10,KTMC-12-1,0
2,59,21,KLNG-20-6,0
2,60,30,CHWH-27-5,0
2,63,15,KTMB-12-3,0
2,65,9,SKWE-24-4,0
2,67,7,GLCB-26-5,0
2,68,4,SLMB-28-3,0
3,72,27,BESC-195,0
3,72,25,CA-03-01,0
3,72,24,KTMB-12-1,0
3,72,23,GW-9801,0
3,72,10,BESC-229,0
3,73,3,WHTE-28-4,0
3,73,12,SKWD-24-3,0
3,73,32,CA-01-05,0
3,74,33,CA-02-01,0
3,87,35,GW-9829,0
3,98,3,DENB-17-2,0
3,100,3,CA-04-01,0
3,101,6,KTMA-12-1,0
1,3,7,SLMD-28-1,1
1,3,11,GW-7975,1
1,3,12,DENA-17-3,1
1,3,13,KLNG-20-1,1
1,3,24,GW-11054,1
1,3,25,GW-9827,1
1,4,12,GW-9787,1
1,4,11,BESC-172,1
1,4,10,BESC-287,1
1,5,5,BESC-903,1
1,5,8,GW-9828,1
1,5,10,SQMC-25-5,1
1,5,15,DENA-17-1,1
1,5,16,DENB-17-4,1
1,5,17,GW-9793,1
1,5,23,SKWA-24-5,1
1,5,32,GW-10999,1
1,6,26,HIRD-12-2,1
1,6,24,SKWE-24-2,1
1,6,12,BESC-328,1
1,6,11,BESC-441,1
1,6,9,GW-9829,1
1,6,6,BESC-190,1
1,6,5,HRSO-27-5,1
1,6,3,BESC-435,1
1,7,3,BESC-149,1
1,7,8,GW-9812,1
1,7,9,HOPF-27-3,1
1,7,20,GW-9961,1
1,7,27,GW-9792,1
1,7,29,CA-01-01,1
1,7,31,BESC-122,1
1,8,26,GW-9777,1
1,8,24,GLCB-26-2,1
1,8,22,BLCG-28-1,1
1,8,17,BESC-260,1
1,8,11,CA-01-05,1
1,8,10,GW-9801,1
1,8,7,BESC-381,1
1,8,5,SKWF-24-4,1
1,9,13,NHTB-27-4,1
1,9,15,GW-9959,1
1,9,16,BESC-467,1
1,9,17,BESC-895,1
1,9,19,BESC-821,1
1,9,21,CHWH-27-3,1
1,9,23,GW-9774,1
1,10,33,KLNE-20-5,1
1,10,32,HOMA-21-5,1
1,10,31,GW-9819,1
1,10,26,CHWK-27-4,1
1,10,24,SLMB-28-1,1
1,10,22,CMBF-28-2,1
1,10,18,GW-9882,1
1,10,15,WELC-27-5,1
1,10,3,GW-9879,1
1,11,5,WHTE-28-3,1
1,11,6,BESC-428,1
1,11,16,DEND-17-1,1
1,11,19,DENB-17-1,1
1,11,23,HARB-26-1,1
1,11,29,DENC-17-5,1
1,12,28,KLNG-20-5,1
1,12,27,GW-10985,1
1,12,26,KLNG-20-6,1
1,12,24,BESC-69,1
1,12,21,GW-9960,1
1,12,19,BESC-833,1
1,12,18,BESC-439,1
1,12,15,CHWK-27-2,1
1,12,14,GW-9791,1
1,12,8,BESC-186,1
1,12,6,BESC-145,1
1,12,3,BESC-415,1
1,13,6,CA-05-07,1
1,13,7,SQMC-25-1,1
1,13,12,WHTE-28-4,1
1,13,16,BESC-264,1
1,13,19,YALD-27-2,1
1,14,35,GLCB-26-3,1
1,14,32,DEND-17-2,1
1,14,31,KTMA-12-4,1
1,14,25,KTMC-12-2,1
1,14,24,CHWK-27-3,1
1,14,20,SLMD-28-4,1
1,14,10,NHTB-27-1,1
1,14,5,KTMC-12-5,1
1,14,4,BESC-301,1
1,15,7,DENC-17-2,1
1,15,11,SKWB-24-5,1
1,15,16,GLCB-26-5,1
1,15,18,BESC-271,1
1,15,19,BESC-159,1
1,15,30,KTMA-12-1,1
1,16,25,GW-9598,1
1,16,20,HARA-26-2,1
1,16,16,GW-9766,1
1,16,13,GLCA-26-1,1
1,16,12,GW-9817,1
1,16,9,BESC-225,1
1,16,8,BESC-409,1
1,16,5,FNYI-28-5,1
1,17,6,BESC-240,1
1,17,22,GW-9813,1
1,17,23,GW-9782,1
1,17,27,SQMA-25-2,1
1,17,29,LILB-26-4,1
1,18,26,BESC-422,1
1,18,23,GW-9770,1
1,18,22,GW-9581,1
1,18,12,KTMA-12-3,1
1,18,10,LILC-26-3,1
1,18,9,LILA-26-2,1
1,19,5,GW-10998,1
1,19,8,GW-9820,1
1,19,10,BESC-433,1
1,19,19,GW-9765,1
1,19,21,GW-9847,1
1,19,23,KLNA-20-3,1
1,19,27,GW-9877,1
1,19,33,SLMD-28-3,1
1,19,34,CA-01-02,1
1,20,21,SKWC-24-1,1
1,20,20,NHTA-27-4,1
1,20,18,KLNC-20-2,1
1,20,14,BESC-194,1
1,20,13,CA-05-03,1
1,20,6,LILA-26-3,1
1,21,4,GW-7994,1
1,21,13,SKWB-24-2,1
1,21,25,GW-9596,1
1,21,32,CA-05-04,1
1,22,29,BLCG-28-3,1
1,22,25,GW-9784,1
1,22,24,GW-10956,1
1,22,18,CA-03-01,1
1,22,14,DENB-17-2,1
1,22,12,BESC-886,1
1,22,11,SKWE-24-3,1
1,22,3,SQMB-25-4,1
1,23,3,GW-9861,1
1,23,6,CHWI-27-4,1
1,23,9,KTMC-12-1,1
1,23,24,SKWD-24-3,1
1,23,26,GW-9779,1
1,24,35,GW-9884,1
1,24,23,BESC-401,1
1,24,16,DENA-17-4,1
1,24,5,HOMB-21-4,1
1,25,7,SKWE-24-1,1
1,25,11,BESC-167,1
1,25,12,SLMC-28-1,1
1,25,26,SKWD-24-4,1
1,25,33,BESC-22,1
1,25,34,BESC-388,1
1,26,34,GW-10995,1
1,26,30,BESC-322,1
