Block,Row,Col,Geno,BS1,BS2,BS3,BSav_2010
1,3,3,GW-7979,5,5,6,5.33333
1,3,4,GW-9579,2,3,5,3.33333
1,3,7,SLMD-28-1,6,6,6,6
1,3,9,GW-9898,3,3,5,3.66667
1,3,10,BESC-90,4,4,5,4.33333
1,3,12,DENA-17-3,6,6,6,6
1,3,13,KLNG-20-1,6,6,6,6
1,3,14,BESC-203,3,3,5,3.66667
1,3,15,GW-7984,5,5,6,5.33333
1,3,16,GW-9867,3,4,6,4.33333
1,3,17,BESC-51,3,4,5,4
1,3,18,BESC-366,2,3,5,3.33333
1,3,20,BESC-896,2,3,5,3.33333
1,3,21,HARC-26-2,3,3,4,3.33333
1,3,22,GW-9872,3,3,5,3.66667
1,3,23,GW-9843,2,3,5,3.33333
1,3,24,GW-11054,3,4,6,4.33333
1,3,25,GW-9827,3,4,6,4.33333
1,3,26,BESC-218,2,3,5,3.33333
1,3,27,GW-9873,3,4,6,4.33333
1,3,28,BESC-424,2,3,5,3.33333
1,3,29,BESC-362,2,3,5,3.33333
1,3,30,BESC-254,2,3,5,3.33333
1,3,31,BESC-110,3,4,6,4.33333
1,3,32,GW-9893,2,3,5,3.33333
1,3,33,HOPF-27-1,2,3,5,3.33333
1,3,34,HARC-26-3,3,3,5,3.66667
1,3,35,GW-9807,1,2,4,2.33333
1,4,3,BESC-376,4,4,6,4.66667
1,4,4,BESC-45,5,5,6,5.33333
1,4,5,BESC-402,6,6,6,6
1,4,9,GW-9874,6,6,6,6
1,4,10,BESC-287,2,3,5,3.33333
1,4,11,BESC-172,1,2,4,2.33333
1,4,12,GW-9787,5,5,6,5.33333
1,4,13,BESC-211,3,4,6,4.33333
1,4,15,BESC-84,2,3,5,3.33333
1,4,16,BESC-4,5,5,6,5.33333
1,4,17,BESC-423,3,4,6,4.33333
1,4,18,HRSO-27-3,2,3,5,3.33333
1,4,19,GW-9597,5,5,6,5.33333
1,4,20,HRSO-27-2,3,4,6,4.33333
1,4,21,HOPG-27-1,5,5,6,5.33333
1,4,22,BESC-15,2,3,5,3.33333
1,4,23,BESC-217,2,3,5,3.33333
1,4,24,GW-9836,2,3,5,3.33333
1,4,25,WHTE-28-1,5,5,6,5.33333
1,4,26,BESC-71,2,3,5,3.33333
1,4,27,BESC-169,1,2,4,2.33333
1,4,28,BESC-63,1,2,4,2.33333
1,4,29,BESC-340,2,3,5,3.33333
1,4,30,GW-9865,2,3,5,3.33333
1,4,31,BESC-338,2,3,5,3.33333
1,4,32,LILA-26-5,5,5,6,5.33333
1,4,33,GW-9809,1,2,4,2.33333
1,4,34,BESC-272,4,5,6,5
1,4,35,DEND-17-4,6,6,6,6
1,5,5,BESC-903,3,4,6,4.33333
1,5,7,BESC-824,3,3,5,3.66667
1,5,8,GW-9828,4,4,6,4.66667
1,5,10,SQMC-25-5,5,6,6,5.66667
1,5,12,BESC-150,3,4,6,4.33333
1,5,13,KLNG-20-7,5,5,6,5.33333
1,5,14,BESC-136,2,3,5,3.33333
