Geno,Block,Row,Col,BF1_2010,BF2_2010,BF_ave_2010
BESC-1,B,70,18,0,1,0.5
BESC-10,C,4,41,0,1,0.5
BESC-10,B,42,14,0,1,0.5
BESC-10,A,17,4,0,1,0.5
BESC-100,C,12,60,0,1,0.5
BESC-100,B,54,8,0,0,0
BESC-100,A,6,23,0,1,0.5
BESC-101,A,4,28,2,3,2.5
BESC-101,C,4,34,2,3,2.5
BESC-101,B,50,9,3,3,3
BESC-102,A,16,21,0,2,1
BESC-102,B,62,10,1,2,1.5
BESC-102,C,37,60,0,2,1
BESC-103,A,22,10,0,0,0
BESC-103,C,13,49,0,1,0.5
BESC-103,B,72,6,0,1,0.5
BESC-105,A,17,19,0,0,0
BESC-105,B,43,28,0,0,0
BESC-105,C,27,51,0,1,0.5
BESC-106,A,22,15,0,0,0
BESC-106,C,22,38,0,1,0.5
BESC-106,B,62,7,0,1,0.5
BESC-107,C,21,59,0,1,0.5
BESC-107,B,74,13,0,2,1
BESC-107,A,2,12,1,1,1
BESC-108,C,13,56,0,1,0.5
BESC-108,A,20,31,0,2,1
BESC-108,B,72,25,0,2,1
BESC-109,C,32,47,0,2,1
BESC-109,A,27,21,0,3,1.5
BESC-109,B,50,6,2,2,2
BESC-11,C,28,60,0,0,0
BESC-11,A,5,12,0,2,1
BESC-11,B,52,8,0,2,1
BESC-110,B,74,23,0,1,0.5
BESC-110,A,35,25,0,1,0.5
BESC-110,C,14,56,1,2,1.5
BESC-111,C,20,42,0,2,1
BESC-111,A,8,18,0,1,0.5
BESC-111,B,44,17,0,2,1
BESC-112,C,20,47,0,1,0.5
BESC-112,B,55,25,0,2,1
BESC-112,A,24,30,0,1,0.5
BESC-113,B,38,20,0,2,1
BESC-113,C,23,34,1,2,1.5
BESC-113,A,32,6,0,2,1
BESC-114,B,65,16,0,2,1
BESC-114,C,6,40,0,2,1
BESC-115,A,35,10,0,2,1
BESC-116,C,33,33,0,1,0.5
BESC-116,B,67,6,0,1,0.5
BESC-116,A,11,4,0,1,0.5
BESC-117,B,41,12,0,2,1
BESC-117,C,32,55,0,2,1
BESC-117,A,20,2,0,2,1
BESC-118,C,37,59,0,0,0
BESC-118,A,11,28,0,1,0.5
BESC-118,B,70,15,0,1,0.5
BESC-119,A,36,4,0,2,1
BESC-119,B,55,27,0,1,0.5
BESC-119,C,5,50,0,2,1
BESC-12,A,14,21,1,1,1
BESC-12,B,67,29,0,1,0.5
BESC-121,B,45,28,0,1,0.5
BESC-121,C,19,41,0,2,1
BESC-121,A,33,27,1,2,1.5
BESC-122,A,5,25,1,1,1
BESC-122,B,58,18,0,1,0.5
BESC-122,C,2,61,0,1,0.5
BESC-123,C,28,35,0,1,0.5
BESC-123,A,36,18,0,0,0
BESC-123,B,67,15,0,0,0
BESC-124,A,4,11,1,1,1
BESC-124,C,5,32,1,1,1
BESC-124,B,49,20,0,1,0.5
BESC-125,A,10,25,0,0,0
BESC-125,C,25,49,0,1,0.5
BESC-125,B,44,9,0,0,0
BESC-126,A,23,15,0,1,0.5
BESC-126,C,19,48,0,1,0.5
BESC-127,A,15,11,1,2,1.5
BESC-127,C,7,53,0,1,0.5
BESC-127,B,66,24,0,2,1
BESC-128,A,37,20,0,1,0.5
BESC-128,B,76,28,0,0,0
BESC-128,C,6,34,0,1,0.5
BESC-129,A,23,17,0,1,0.5
BESC-129,C,12,61,0,1,0.5
BESC-129,B,53,2,0,2,1
BESC-13,A,30,3,0,1,0.5
BESC-13,C,21,57,0,2,1
BESC-13,B,41,23,0,2,1
BESC-130,A,28,30,0,2,1
BESC-130,B,72,8,0,2,1
BESC-130,C,4,36,0,1,0.5
BESC-131,C,37,43,0,0,0
BESC-131,A,22,30,0,1,0.5
BESC-131,B,57,20,0,1,0.5
BESC-132,A,32,21,0,3,1.5
BESC-132,C,29,55,0,2,1
BESC-133,B,50,25,0,1,0.5
BESC-133,A,27,3,0,1,0.5
BESC-133,C,19,46,0,1,0.5
BESC-134,A,18,2,0,0,0
BESC-134,B,57,29,0,1,0.5
BESC-134,C,18,53,0,1,0.5
BESC-135,A,19,13,1,2,1.5
BESC-135,B,72,13,0,2,1
BESC-135,C,30,61,0,2,1
BESC-136,B,50,11,1,2,1.5
BESC-136,A,17,7,0,3,1.5
BESC-136,C,2,41,0,2,1
BESC-137,C,17,39,0,0,0
BESC-137,B,43,8,0,1,0.5
BESC-137,A,15,20,0,1,0.5
BESC-138,C,26,33,0,2,1
BESC-138,A,16,28,0,2,1
BESC-138,B,41,7,0,2,1
BESC-139,C,28,48,0,1,0.5
BESC-139,A,8,21,0,0,0
BESC-139,B,72,16,0,1,0.5
BESC-14,A,17,16,0,0,0
BESC-14,B,61,13,0,0,0
BESC-14,C,32,35,0,0,0
BESC-140,C,34,61,1,2,1.5
BESC-140,A,23,29,2,3,2.5
BESC-140,B,54,4,2,3,2.5
BESC-141,B,66,23,0,2,1
BESC-141,A,25,16,0,1,0.5
BESC-141,C,27,43,0,2,1
BESC-142,C,13,55,0,1,0.5
BESC-142,A,8,26,0,0,0
BESC-142,B,63,3,0,0,0
BESC-143,C,23,52,0,0,0
BESC-143,A,6,6,0,1,0.5
BESC-143,B,55,15,0,1,0.5
BESC-144,C,34,49,0,2,1
BESC-144,B,69,3,0,2,1
BESC-144,A,7,20,0,0,0
BESC-145,B,58,24,0,0,0
BESC-145,C,16,60,0,0,0
BESC-145,A,12,24,0,0,0
BESC-146,B,41,21,0,0,0
BESC-146,C,11,45,0,0,0
BESC-146,A,10,2,0,0,0
BESC-147,A,4,8,0,0,0
BESC-147,C,3,61,0,0,0
BESC-147,B,60,25,0,1,0.5
BESC-148,C,18,50,0,0,0
BESC-148,B,75,24,0,0,0
BESC-148,A,26,7,0,2,1
BESC-149,B,68,3,1,1,1
BESC-149,A,25,24,0,1,0.5
BESC-149,C,22,45,0,1,0.5
BESC-15,C,32,38,0,2,1
BESC-15,B,64,14,0,0,0
BESC-15,A,25,26,0,1,0.5
BESC-150,C,37,39,0,2,1
BESC-150,B,45,29,0,2,1
BESC-150,A,19,21,0,3,1.5
BESC-151,B,71,20,0,0,0
BESC-151,A,28,3,0,0,0
BESC-151,C,12,51,0,1,0.5
BESC-152,B,41,5,0,2,1
BESC-152,C,6,32,0,2,1
BESC-153,C,25,42,0,2,1
BESC-153,A,22,2,0,1,0.5
BESC-154,A,11,15,1,1,1
BESC-154,C,9,40,0,0,0
BESC-154,B,61,16,0,0,0
BESC-155,B,54,9,0,1,0.5
BESC-155,A,18,26,0,1,0.5
BESC-155,C,16,54,0,1,0.5
BESC-156,A,16,18,0,1,0.5
BESC-156,B,53,21,0,1,0.5
BESC-156,C,25,57,0,1,0.5
BESC-157,B,62,28,1,1,1
BESC-157,A,35,17,0,1,0.5
BESC-157,C,3,51,0,1,0.5
BESC-158,B,64,21,0,1,0.5
BESC-158,C,30,50,0,1,0.5
BESC-158,A,18,12,0,1,0.5
BESC-159,A,14,14,0,0,0
BESC-159,C,10,35,0,0,0
BESC-160,B,70,7,0,1,0.5
BESC-160,A,31,19,0,0,0
BESC-160,C,14,53,0,0,0
BESC-161,C,35,34,1,1,1
BESC-161,A,16,26,0,0,0
BESC-161,B,55,10,0,1,0.5
BESC-162,C,27,54,0,1,0.5
BESC-162,A,27,22,0,0,0
BESC-162,B,55,12,0,1,0.5
BESC-163,A,21,18,0,0,0
BESC-163,B,41,8,0,0,0
BESC-163,C,2,35,0,0,0
BESC-164,B,42,22,0,2,1
BESC-164,C,36,56,0,1,0.5
BESC-164,A,27,7,0,1,0.5
BESC-165,A,19,27,0,0,0
BESC-165,C,31,54,0,0,0
BESC-165,B,68,14,0,1,0.5
BESC-166,B,50,19,0,0,0
BESC-166,C,11,54,0,1,0.5
BESC-167,B,55,2,0,1,0.5
BESC-167,C,18,59,0,1,0.5
BESC-167,A,6,16,1,1,1
BESC-168,C,20,35,0,1,0.5
BESC-168,B,63,8,0,0,0
BESC-168,A,2,4,0,0,0
BESC-169,C,18,33,0,1,0.5
BESC-169,A,37,21,0,0,0
BESC-169,B,46,11,0,0,0
BESC-17,B,58,17,0,1,0.5
BESC-17,A,10,9,0,0,0
BESC-17,C,19,32,0,0,0
BESC-170,C,10,42,0,2,1
BESC-170,B,75,8,1,2,1.5
BESC-170,A,32,32,0,1,0.5
BESC-171,A,19,7,0,1,0.5
BESC-171,C,26,45,0,1,0.5
BESC-171,B,45,19,0,1,0.5
BESC-172,B,61,27,0,1,0.5
BESC-172,C,9,44,0,1,0.5
BESC-172,A,15,22,0,0,0
BESC-173,A,16,7,0,0,0
BESC-173,B,46,2,0,1,0.5
BESC-173,C,2,39,0,1,0.5
BESC-174,A,13,29,0,1,0.5
BESC-174,C,24,47,0,0,0
BESC-174,B,41,20,0,1,0.5
BESC-175,B,50,18,0,2,1
BESC-175,C,18,49,0,1,0.5
BESC-175,A,24,4,0,1,0.5
BESC-176,B,39,8,0,0,0
BESC-176,C,30,45,0,0,0
BESC-176,A,30,18,0,0,0
BESC-177,B,60,14,0,1,0.5
BESC-177,C,29,49,0,1,0.5
BESC-177,A,7,14,1,1,1
BESC-178,A,28,15,0,1,0.5
BESC-178,B,63,6,0,1,0.5
BESC-178,C,36,36,0,1,0.5
BESC-179,C,24,46,0,0,0
BESC-179,A,25,22,0,0,0
BESC-179,B,44,7,0,1,0.5
BESC-18,C,32,42,0,3,1.5
BESC-18,A,29,28,2,3,2.5
BESC-18,B,66,27,2,3,2.5
BESC-180,B,56,12,0,2,1
BESC-180,A,13,31,0,0,0
BESC-180,C,30,56,0,1,0.5
BESC-181,C,10,58,0,0,0
BESC-181,B,65,10,0,1,0.5
BESC-181,A,10,6,0,0,0
BESC-183,A,25,23,0,1,0.5
BESC-183,B,69,11,0,0,0
BESC-183,C,3,54,0,1,0.5
BESC-184,B,39,23,0,0,0
BESC-184,A,15,17,0,0,0
BESC-184,C,13,39,0,0,0
BESC-185,B,68,20,0,1,0.5
BESC-185,C,25,48,1,2,1.5
BESC-185,A,9,8,1,1,1
BESC-186,B,74,27,0,0,0
