Geno,Row,Col,Block,BS_2009,BS10_1,BS10_2,BS10_3,BSave_2010
BESC-179,44,7,B,3,2,2,3,2.33
BESC-216,31,35,C,3,2,2,3,2.33
BESC-223,68,21,B,3,2,2,3,2.33
BESC-223,15,15,A,4,2,2,3,2.33
BESC-235,20,52,C,3,2,2,3,2.33
BESC-242,24,44,C,3,2,2,3,2.33
BESC-242,48,20,B,3,3,2,2,2.33
BESC-370,24,11,A,3,2,2,3,2.33
BESC-40,57,26,B,3,2,2,3,2.33
BESC-50,13,47,C,3,2,2,3,2.33
BESC-60,32,23,A,3,2,2,3,2.33
BESC-63,7,49,C,3,2,2,3,2.33
BESC-810,6,8,A,3,3,2,2,2.33
BESC-810,5,37,C,3,2,2,3,2.33
BESC-810,38,14,B,3,3,2,2,2.33
BESC-836,58,21,B,3,2,2,3,2.33
BESC-843,46,17,B,5,2,2,3,2.33
GW-9585,40,8,B,3,2,2,3,2.33
GW-9879,29,8,A,3,2,2,3,2.33
GW-9894,64,7,B,2,2,2,3,2.33
GW-9967,27,27,A,4,1,2,4,2.33
BESC-11,28,60,C,2,2,2,4,2.67
BESC-11,52,8,B,4,2,2,4,2.67
BESC-11,5,12,A,2,2,2,4,2.67
BESC-117,32,55,C,2,2,2,4,2.67
BESC-126,19,48,C,5,2,2,4,2.67
BESC-136,2,41,C,3,2,2,4,2.67
BESC-138,26,33,C,3,2,2,4,2.67
BESC-153,25,42,C,3,2,2,4,2.67
BESC-172,9,44,C,3,2,2,4,2.67
BESC-185,9,8,A,3,2,2,4,2.67
BESC-188,22,44,C,3,2,2,4,2.67
BESC-189,14,41,C,5,2,2,4,2.67
BESC-209,50,14,B,4,2,2,4,2.67
BESC-217,63,23,B,3,2,2,4,2.67
BESC-232,27,62,C,NA,2,2,4,2.67
BESC-276,4,56,C,3,2,2,4,2.67
BESC-287,39,17,B,2,2,2,4,2.67
BESC-287,34,27,A,4,2,2,4,2.67
BESC-295,18,4,A,3,2,2,4,2.67
BESC-31,30,28,A,3,2,2,4,2.67
BESC-360,62,25,B,3,2,2,4,2.67
BESC-369,29,3,A,3,2,2,4,2.67
BESC-370,56,6,B,2,2,3,3,2.67
BESC-372,17,21,A,4,2,2,4,2.67
BESC-38,56,8,B,6,2,2,4,2.67
BESC-383,12,48,C,NA,2,2,4,2.67
BESC-390,13,52,C,3,2,2,4,2.67
BESC-395,66,17,B,3,2,3,3,2.67
BESC-395,4,61,C,3,2,2,4,2.67
BESC-40,4,50,C,3,2,2,4,2.67
BESC-413,23,38,C,5,2,2,4,2.67
BESC-52,17,46,C,4,2,2,4,2.67
BESC-56,22,4,A,4,2,2,4,2.67
BESC-60,35,40,C,3,2,3,3,2.67
BESC-809,2,53,C,3,2,2,4,2.67
BESC-817,35,41,C,3,2,2,4,2.67
BESC-826,10,8,A,3,3,2,3,2.67
BESC-826,28,36,C,3,2,2,4,2.67
BESC-829,57,11,B,NA,2,3,3,2.67
BESC-834,16,6,A,3,2,3,3,2.67
BESC-835,21,2,A,2,2,2,4,2.67
BESC-837,42,4,B,2,2,2,4,2.67
BESC-838,28,47,C,6,2,2,4,2.67
BESC-843,16,40,C,3,2,2,4,2.67
BESC-844,11,43,C,5,2,2,4,2.67
BESC-845,28,42,C,3,2,2,4,2.67
BESC-846,58,8,B,4,2,2,4,2.67
BESC-847,12,9,A,3,2,2,4,2.67
BESC-849,26,38,C,6,2,2,4,2.67
BESC-86,9,7,A,3,3,2,3,2.67
GW-10984,72,10,B,2,2,2,4,2.67
GW-10993,12,41,C,6,2,2,4,2.67
GW-11019,15,13,A,5,2,3,3,2.67
GW-11019,10,40,C,3,2,2,4,2.67
GW-11035,14,13,A,5,2,2,4,2.67
GW-11037,27,46,C,3,2,2,4,2.67
GW-7981,54,21,B,5,2,2,4,2.67
GW-7982,42,11,B,4,2,2,4,2.67
GW-7987,36,62,C,3,2,2,4,2.67
GW-9579,33,42,C,3,2,2,4,2.67
GW-9585,30,47,C,5,2,2,4,2.67
GW-9597,21,40,C,4,2,2,4,2.67
GW-9810,50,2,B,3,2,2,4,2.67
GW-9813,42,7,B,4,2,3,3,2.67
GW-9818,13,53,C,3,2,2,4,2.67
GW-9855,5,44,C,3,2,2,4,2.67
GW-9909,62,6,B,4,2,3,3,2.67
GW-9914,23,12,A,4,2,2,4,2.67
GW-9917,9,41,C,3,2,2,4,2.67
GW-9917,51,29,B,3,2,2,4,2.67
GW-9918,31,40,C,3,2,2,4,2.67
GW-9922,48,19,B,3,2,2,4,2.67
