Cultivar	Lat	Long
93-968	48.05	-122.12
93-968	48.05	-122.12
BESC-015	46.16	-123.04
Besc-1	46.171	-123.052
BESC-100	46.112	-122.985
BESC-101	46.112	-122.986
BESC-102	46.113	-122.987
BESC-103	46.113	-122.988
BESC-104	46.11216238	-122.9878413
BESC-105	46.113	-122.989
BESC-106	46.1129631	-122.9890432
BESC-107	46.113	-122.99
BESC-108	46.114	-122.99
BESC-109	46.114	-122.99
BESC-11	46.1662218	-123.0470295
BESC-110	46.1148533	-122.9902365
BESC-112	46.115	-122.991
BESC-113	46.116	-122.99
BESC-116	46.10928018	-122.9856922
BESC-117	46.109	-122.986
BESC-118	46.1086709	-122.9853659
BESC-119	46.1082435	-122.9846934
BESC-120	46.10776632	-122.9841146
BESC-121	46.10753045	-122.9836102
BESC-122	46.10719811	-122.9830777
BESC-123	46.10699669	-122.9824988
BESC-124	46.107	-122.982
BESC-125	46.107	-122.981
BESC-126	46.10751252	-122.9805029
BESC-127	46.108	-122.981
BESC-128	46.108	-122.98
BESC-129	46.108	-122.98
BESC-13	46.165	-123.045
BESC-130	46.108	-122.98
BESC-131	46.10848264	-122.9788285
BESC-132	46.10893576	-122.9782983
BESC-133	46.109	-122.978
BESC-134	46.109	-122.976
BESC-135	46.10984637	-122.9793801
BESC-136	46.11	-122.98
BESC-137	46.11081616	-122.9802577
BESC-138	46.111	-122.981
BESC-139	46.111	-122.982
BESC-140	46.112	-122.983
BESC-141	47.0588426	-122.1913681
BESC-142	47.05966596	-122.1907097
BESC-143	47.06048017	-122.1909214
BESC-144	47.061	-122.191
BESC-145	47.061	-122.192
BESC-146	47.06257506	-122.1921085
BESC-147	47.063	-122.192
BESC-148	47.064	-122.193
BESC-149	47.064	-122.193
BESC-151	47.06650224	-122.1946774
BESC-152	47.067	-122.195
BESC-153	47.067	-122.195
BESC-154	47.068	-122.195
BESC-155	47.06883752	-122.1950611
BESC-156	-122.195	249.767
BESC-157	47.07	-122.196
BESC-158	47.07002716	-122.1959131
BESC-159	47.07067684	-122.1957046
BESC-16	46.16324287	-123.0429149
BESC-160	47.07091053	-122.1964496
BESC-161	47.07170388	-122.1973965
BESC-162	47.07208836	-122.1977788
BESC-163	47.073	-122.198
BESC-164	47.073	-122.199
BESC-165	47.074	-122.199
BESC-166	47.074	-122.199
BESC-167 	47.075	-122.199
BESC-168	47.07516535	-122.1992306
BESC-169	47.076	-122.199
BESC-17	46.164	-123.042
BESC-170	47.077	-122.199
Besc-171	47.07724549	-122.1991968
BESC-172	47.078	-122.199
BESC-173	47.078	-122.199
BESC-174	47.079	-122.199
BESC-175	47.08	-122.2
BESC-176	47.081	-122.2
Besc-177	47.08114006	-122.2001618
BESC-178	47.082	-122.201
BESC-179	47.083	-122.201
Besc-18	46.16242806	-123.0409347
Besc-180	47.08309681	-122.2022258
Besc-181	47.08337031	-122.2027719
BESC-182	47.08362051	-122.2034033
BESC-183	47.084	-122.204
BESC-184	47.08424429	-122.2045619
BESC-185	47.08450765	-122.205286
BESC-186	47.085	-122.206
BESC-187	47.08539731	-122.2069225
BESC-188	47.086	-122.208
BESC-189	47.088	-122.21
BESC-19	46.164	-123.039
BESC-190	47.08786938	-122.2104161
BESC-191	47.088	-122.211
BESC-192	47.089	-122.212
BESC-193	47.08913472	-122.2126905
BESC-195	47.09	-122.214
BESC-196	47.09	-122.214
BESC-197	47.091	-122.214
BESC-198	47.091	-122.215
BESC-199	47.091	-122.215
BESC-2	46.171	-123.051
BESC-20	46.166	-123.036
BESC-200	47.0920828	-122.215679
BESC-201	47.093	-122.216
BESC-202	47.09321251	-122.2168223
Besc-203	47.09390695	-122.2172829
BESC-204	47.09460466	-122.2181304
BESC-205	47.09514789	-122.218506
BESC-206	47.09544042	-122.2189606
BESC-207	47.096	-122.22
BESC-208	47.096	-122.22
BESC-209	47.09646477	-122.2197045
BESC-21	46.166	-123.035
BESC-210	47.097	-122.22
BESC-211	47.09827694	-122.2200477
BESC-212	47.099	-122.22
BESC-213	47.09935142	-122.219794
BESC-214	47.10022029	-122.2202342
BESC-215	47.10083158	-122.1998968
BESC-216	47.10493661	-122.2055192
BESC-217	47.104	-122.205
BESC-218	47.10413472	-122.2040021
BESC-219	47.10393514	-122.203447
BESC-22	46.166	-123.034
BESC-220	47.103	-122.202
BESC-221	47.10209096	-122.2002148
BESC-222	47.101	-122.199
BESC-223	47.09992675	-122.1965836
BESC-224	47.0990951	-122.19497
BESC-225	47.099	-122.194
BESC-226	47.098	-122.193
BESC-227	47.098	-122.193
BESC-228	47.09744437	-122.1927025
BESC-229	47.058	-122.192
BESC-23	46.16602792	-123.0326872
BESC-230	47.059	-122.193
BESC-231	47.059	-122.193
BESC-234	47.056	-122.193
Besc-235	47.05605864	-122.1930057
BESC-236	47.0556097	-122.1933534
BESC-237	47.05517233	-122.1935321
Besc-238	47.054	-122.195
BESC-239	47.053	-122.196
BESC-24	46.166	-123.032
BESC-240	47.053	-122.196
BESC-241	47.05258409	-122.1968833
BESC-242	47.052	-122.197
BESC-243	47.051	-122.197
BESC-245	47.05	-122.198
BESC-247	47.05	-122.2
BESC-248	47.04944372	-122.1993946
BESC-249	47.664	-122.301
BESC-25	46.16699344	-123.0309107
BESC-250	47.83943583	-121.9889204
BESC-251	47.84	-121.988
BESC-253	47.84	-121.986
BESC-254	47.84	-121.986
BESC-255	47.84	-121.985
BESC-256	47.84	-121.984
BESC-258	47.84115328	-121.9826349
BESC-259	47.841	-121.982
BESC-26	46.10617443	-122.8883409
BESC-260	47.841	-121.981
BESC-261	47.841	-121.981
BESC-262	47.842	-121.98
BESC-263	47.84208669	-121.9796352
BESC-264	47.842	-121.979
BESC-265	47.84275892	-121.9786357
BESC-266	47.84489966	-121.9749917
BESC-267	47.845	-121.975
BESC-268	47.846	-121.974
BESC-269	47.86	-121.972
BESC-27	46.105	-122.887
BESC-270	47.862	-121.781
BESC-271	47.862	-121.779
BESC-272	47.86198961	-121.776559
BESC-273	47.862	-121.783
BESC-274	47.86233611	-121.7822834
BESC-275	47.862	-121.781
BESC-276	47.862	-121.78
BESC-277	47.863	-121.779
BESC-278	47.85903088	-121.8080148
BESC-279	47.859	-121.81
BESC-28	46.10564612	-122.8867632
BESC-280	47.856	-121.813
BESC-281	47.851	-121.962
BESC-282	47.851	-121.963
BESC-283	47.851	-121.963
BESC-284	47.846	-121.969
BESC-285	47.84568664	-121.9702492
BESC-286	47.846	-121.97
BESC-288	47.846	-121.968
BESC-289	47.846	-121.968
BESC-29	46.10611056	-122.8861222
BESC-290	47.84657478	-121.9667487
BESC-291	47.845	-121.971
BESC-292	47.84499756	-121.9718552
BESC-293	47.84435333	-121.9730155
BESC-294	47.84383784	-121.9741185
BESC-295	47.84397413	-121.9744962
BESC-296	47.84348186	-121.9754419
BESC-297	47.84295288	-121.9756965
BESC-298	47.84244468	-121.9763304
BESC-299	47.8411931	-121.9733975
BESC-3	46.17018593	-123.0507374
BESC-30	46.106	-122.885
BESC-300	47.845	-121.969
BESC-301	47.84430136	-121.9692657
BESC-302	47.84370482	-121.9694049
BESC-303	47.844	-121.967
BESC-304	47.844	-121.966
BESC-305	47.84406843	-121.9653294
BESC-306	47.845	-121.965
BESC-307	47.846	-121.963
BESC-308	47.84592929	-121.9730209
BESC-309 	47.84617731	-121.9723159
BESC-31	46.10631776	-122.8839227
BESC-310	47.84683001	-121.9706463
BESC-311	47.856	-121.737
BESC-312 	47.856	-121.737
BESC-314	47.856	-121.736
BESC-315	47.856	-121.735
BESC-316	47.85563252	-121.7342869
BESC-317	47.85528685	-121.734569
BESC-318	47.855	-121.734
BESC-319	47.855	-121.733
BESC-32	46.10635179	-122.8825563
BESC-320	47.855	-121.732
BESC-321	47.855	-121.731
BESC-322	47.855	-121.731
BESC-323	47.855	-121.73
BESC-324	47.855	-121.729
BESC-325	47.855	-121.728
BESC-327	47.85567401	-121.7288331
BESC-328	47.856	-121.73
BESC-33	46.105	-122.883
BESC-330	47.857	-121.731
BESC-331	48.489	-122.16
BESC-332	48.49	-122.16
BESC-333	48.49013354	-122.1603772
BESC-334	48.491	-122.16
BESC-335	48.491	-122.161
BESC-336	48.491	-122.16
BESC-337	48.491	-122.16
BESC-338	48.492	-122.161
BESC-339	48.492	-122.161
BESC-34	46.105	-122.884
BESC-340	48.493	-122.161
BESC-341	48.49282078	-122.160633
BESC-342	48.493	-122.16
BESC-344	48.494	-122.16
BESC-345	48.494	-122.159
BESC-346	48.494	-122.158
BESC-347	48.495	-122.158
BESC-348	48.495	-122.157
BESC-349	48.495	-122.156
BESC-35	46.104	-122.885
BESC-350	48.495	-122.155
BESC-351	48.495	-122.154
Besc-352	48.494	-122.154
Besc-353	48.494571	-122.153046
BESC-354	48.494	-122.153
Besc-355	48.49367548	-122.1532955
Besc-356	48.4932252	-122.1536854
Besc-357	48.49269798	-122.153878
Besc-358	48.49425266	-122.154515
Besc-359	48.495	-122.155
Besc-36	46.104	-122.884
BESC-360	48.495	-122.156
Besc-361	48.49428124	-122.1567928
Besc-362	48.49414394	-122.1573184
Besc-363	48.494	-122.158
Besc-364	48.49371579	-122.1587002
Besc-365	48.49350776	-122.1591599
BESC-366	48.493	-122.16
Besc-367	48.49263562	-122.1598678
BESC-368	48.492	-122.16
BESC-369	48.492	-122.16
BESC-37	46.103	-122.884
BESC-370	48.491	-122.16
BESC-371	48.491	-122.159
BESC-372	48.49004628	-122.1592763
BESC-373	48.48978711	-122.1596161
BESC-374	48.489	-122.16
BESC-375	48.49	-122.159
BESC-376	48.491	-122.159
BESC-377	48.491	-122.158
Besc-378	48.492	-122.16
BESC-38	46.10348945	-122.8824537
BESC-380	48.494	-122.158
BESC-381	48.49365586	-122.1569404
BESC-382	48.493	-122.157
BESC-383	48.493	-122.157
BESC-384	48.494	-122.157
BESC-385	48.494	-122.157
BESC-386	48.493	-122.158
BESC-387	48.493	-122.157
BESC-388	48.515	-122.109
BESC-389	48.515	-122.112
BESC-390	48.515	-122.113
BESC-391	48.515	-122.114
BESC-392	48.515	-122.115
BESC-393	48.515	-122.115
BESC-394	48.515	-122.116
BESC-395	48.515	-122.116
BESC-397	48.515	-122.118
BESC-398	48.525	-122.075
BESC-399	48.524	-122.076
BESC-4	46.1698489	-123.0500854
BESC-40	46.10329625	-122.880777
BESC-401	48.52425467	-122.078595
BESC-402	48.52408561	-122.0792049
BESC-403	48.524	-122.08
BESC-404	48.52375209	-122.0822189
BESC-405	48.523	-122.089
BESC-406	48.523	-122.09
BESC-407	48.52318497	-122.0937826
Besc-408	48.5229398	-122.0956048
BESC-409	48.506	-122.022
BESC-41	46.10243065	-122.8813877
BESC-410	48.50673364	-122.0226609
BESC-412	48.508	-122.024
BESC-413	48.508	-122.025
BESC-414	48.52518364	-122.0089507
BESC-415	48.525	-122.01
BESC-416	48.52504098	-122.0106041
BESC-417	48.525	-122.011
BESC-419	48.52513972	-122.0129451
BESC-420	48.52483034	-122.0134038
Besc-421	48.52426574	-122.0139794
Besc-422	48.52345286	-122.0144567
Besc-423	48.52308137	-122.0149776
Besc-424	48.52446967	-122.0146486
Besc-425	48.52486655	-122.0160673
BESC-426	48.5264307	-122.0163041
Besc-427	48.52625476	-122.0153105
BESC-428	48.51850821	-122.0136059
BESC-429	48.5182161	-122.0132467
BESC-43	46.10208197	-122.8796948
BESC-430	48.51789616	-122.0129564
BESC-431	48.51753239	-122.012656
BESC-432	48.51720247	-122.0121236
BESC-433	48.51685538	-122.0117274
Besc-434	48.51650728	-122.0113089
Besc-435	48.5162575	-122.0108973
Besc-436	48.51592742	-122.0103467
Besc-437	48.51562039	-122.0099348
Besc-438	48.5153199	-122.009479
BESC-439	48.514878	-122.0089998
Besc-44	46.10195314	-122.8788363
BESC-440	48.51448171	-122.0089667
BESC-441	48.51396136	-122.008899
Besc-442	48.51344294	-122.008445
Besc-443	48.52324507	-122.0089924
Besc-444	48.52330693	-122.0099938
BESC-445	48.52320844	-122.0106462
BESC-446	48.52303569	-122.0111906
BESC-447	48.52291407	-122.0119156
BESC-448	48.52259036	-122.0126148
Besc-449	48.52206188	-122.0131433
Besc-45	46.10166647	-122.8781377
Besc-450	48.52162242	-122.0134797
Besc-451	48.52126359	-122.0138131
BESC-452	48.52069496	-122.0138805
BESC-453	48.52030395	-122.014026
BESC-454	48.51982148	-122.0139338
Besc-455	48.51942921	-122.013935
Besc-457	48.51887659	-122.0137582
Besc-458	48.52063755	-122.0554433
BESC-459	48.52027955	-122.0548846
Besc-46	46.10122701	-122.8774618
BESC-461	48.51964898	-122.0541089
BESC-462	48.5192661	-122.0537215
Besc-463	48.51888179	-122.053355
BESC-464	48.5185958	-122.052954
BESC-465	48.5183798	-122.0524216
BESC-466	48.51802088	-122.0520428
BESC-467	48.51768351	-122.051575
Besc-468	48.51752241	-122.0510736
Besc-469	48.51739811	-122.0496418
Besc-47	46.10056258	-122.8772099
Besc-470	48.51733642	-122.0487408
Besc-48	46.10007559	-122.8770917
Besc-49	46.09962657	-122.8770268
BESC-5	46.16946249	-123.0495664
BESC-50	46.09891721	-122.8759815
Besc-51	46.09850826	-122.8763039
BESC-52	46.09818203	-122.8766406
BESC-53	46.0976953	-122.8763137
Besc-54	46.09831061	-122.877641
BESC-55	46.09879978	-122.8776817
Besc-56	46.09937595	-122.8784046
Besc-58	46.10038145	-122.8796666
Besc-59	46.10089852	-122.8793737
BESC-6 	46.16889135	-123.0488401
Besc-60	46.10088914	-122.8802903
Besc-61	46.1013835	-122.8798575
BESC-62	46.10142189	-122.8806727
Besc-63	46.1020082	-122.8803752
Besc-65	46.10216008	-122.8817526
BESC-66	46.10214181	-122.8823976
Besc-67	46.10253341	-122.8828655
Besc-68	46.10301898	-122.8832471
Besc-69	46.10379456	-122.8858374
Besc-7	46.16831476	-123.0474736
Besc-70	46.10429906	-122.8867168
Besc-71	46.10473417	-122.8865543
