Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Phenophase_ID,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No
459,36.524502,-92.751999,234,MO,12,Cornus,florida,flowering dogwood,Plantae,637,180,>=75% of full leaf size (deciduous),2010,4,25,115,2455312,19,2010,4,25,115,2455312,174
459,36.524502,-92.751999,234,MO,12,Cornus,florida,flowering dogwood,Plantae,637,181,>=50% of leaves colored (deciduous),2010,10,16,289,2455486,174,2010,11,14,318,2455515,7
459,36.524502,-92.751999,234,MO,12,Cornus,florida,flowering dogwood,Plantae,637,182,All leaves colored (deciduous),2010,10,16,289,2455486,174,2010,11,14,318,2455515,7
459,36.524502,-92.751999,234,MO,12,Cornus,florida,flowering dogwood,Plantae,637,183,>=50% of leaves fallen (deciduous),2010,11,14,318,2455515,10,2010,11,21,325,2455522,-9999
459,36.524502,-92.751999,234,MO,12,Cornus,florida,flowering dogwood,Plantae,637,184,All leaves fallen (deciduous),2010,11,21,325,2455522,7,2010,11,21,325,2455522,-9999
459,36.524502,-92.751999,234,MO,12,Cornus,florida,flowering dogwood,Plantae,637,186,Full flowering (50%),2010,4,25,115,2455312,19,2010,4,25,115,2455312,174
459,36.524502,-92.751999,234,MO,12,Cornus,florida,flowering dogwood,Plantae,637,371,Breaking leaf buds,2010,4,4,94,2455291,11,2010,4,25,115,2455312,174
459,36.524502,-92.751999,234,MO,12,Cornus,florida,flowering dogwood,Plantae,637,390,Ripe fruits,2010,10,16,289,2455486,174,2010,10,16,289,2455486,9
459,36.524502,-92.751999,234,MO,12,Cornus,florida,flowering dogwood,Plantae,637,390,Ripe fruits,2010,11,4,308,2455505,10,2010,11,14,318,2455515,7
459,36.524502,-92.751999,234,MO,12,Cornus,florida,flowering dogwood,Plantae,637,483,Leaves,2010,4,6,96,2455293,2,2010,4,25,115,2455312,174
459,36.524502,-92.751999,234,MO,12,Cornus,florida,flowering dogwood,Plantae,637,501,Open flowers,2010,4,6,96,2455293,2,2010,4,25,115,2455312,174
858,39.249207,-120.953903,1116,CA,69,Cornus,nuttallii,Pacific dogwood,Plantae,779,183,>=50% of leaves fallen (deciduous),2010,1,2,2,2455199,-9999,2010,1,2,2,2455199,-9999
858,39.249207,-120.953903,1116,CA,69,Cornus,nuttallii,Pacific dogwood,Plantae,779,184,All leaves fallen (deciduous),2010,1,2,2,2455199,-9999,2010,1,2,2,2455199,-9999
684,60.171356,-149.39119,44,AK,11,Cornus,canadensis,bunchberry dogwood,Plantae,1107,232,Emerging leaves (1 location),2010,5,7,127,2455324,12,2010,5,7,127,2455324,-9999
1068,38.776115,-75.152031,4,DE,12,Cornus,florida,flowering dogwood,Plantae,1254,180,>=75% of full leaf size (deciduous),2010,10,31,304,2455501,202,2010,10,31,304,2455501,51
1068,38.776115,-75.152031,4,DE,12,Cornus,florida,flowering dogwood,Plantae,1254,184,All leaves fallen (deciduous),2010,3,16,75,2455272,-9999,2010,3,16,75,2455272,5
1068,38.776115,-75.152031,4,DE,12,Cornus,florida,flowering dogwood,Plantae,1254,184,All leaves fallen (deciduous),2010,12,21,355,2455552,51,2010,12,21,355,2455552,-9999
1068,38.776115,-75.152031,4,DE,12,Cornus,florida,flowering dogwood,Plantae,1254,186,Full flowering (50%),2010,4,12,102,2455299,5,2010,4,12,102,2455299,202
1068,38.776115,-75.152031,4,DE,12,Cornus,florida,flowering dogwood,Plantae,1254,371,Breaking leaf buds,2010,3,21,80,2455277,5,2010,4,12,102,2455299,202
1068,38.776115,-75.152031,4,DE,12,Cornus,florida,flowering dogwood,Plantae,1254,390,Ripe fruits,2010,10,31,304,2455501,202,2010,10,31,304,2455501,51
1068,38.776115,-75.152031,4,DE,12,Cornus,florida,flowering dogwood,Plantae,1254,483,Leaves,2010,4,7,97,2455294,17,2010,10,31,304,2455501,51
1068,38.776115,-75.152031,4,DE,12,Cornus,florida,flowering dogwood,Plantae,1254,501,Open flowers,2010,4,7,97,2455294,17,2010,4,12,102,2455299,202
459,36.524502,-92.751999,234,MO,12,Cornus,florida,flowering dogwood,Plantae,1273,180,>=75% of full leaf size (deciduous),2010,4,25,115,2455312,19,2010,4,25,115,2455312,174
459,36.524502,-92.751999,234,MO,12,Cornus,florida,flowering dogwood,Plantae,1273,181,>=50% of leaves colored (deciduous),2010,10,16,289,2455486,174,2010,11,21,325,2455522,-9999
459,36.524502,-92.751999,234,MO,12,Cornus,florida,flowering dogwood,Plantae,1273,182,All leaves colored (deciduous),2010,11,4,308,2455505,19,2010,11,21,325,2455522,-9999
459,36.524502,-92.751999,234,MO,12,Cornus,florida,flowering dogwood,Plantae,1273,183,>=50% of leaves fallen (deciduous),2010,11,14,318,2455515,10,2010,11,21,325,2455522,-9999
459,36.524502,-92.751999,234,MO,12,Cornus,florida,flowering dogwood,Plantae,1273,184,All leaves fallen (deciduous),2010,11,21,325,2455522,7,2010,11,21,325,2455522,-9999
459,36.524502,-92.751999,234,MO,12,Cornus,florida,flowering dogwood,Plantae,1273,186,Full flowering (50%),2010,4,25,115,2455312,19,2010,4,25,115,2455312,174
459,36.524502,-92.751999,234,MO,12,Cornus,florida,flowering dogwood,Plantae,1273,371,Breaking leaf buds,2010,4,6,96,2455293,2,2010,4,25,115,2455312,174
459,36.524502,-92.751999,234,MO,12,Cornus,florida,flowering dogwood,Plantae,1273,390,Ripe fruits,2010,10,16,289,2455486,174,2010,11,4,308,2455505,10
459,36.524502,-92.751999,234,MO,12,Cornus,florida,flowering dogwood,Plantae,1273,483,Leaves,2010,4,25,115,2455312,19,2010,4,25,115,2455312,174
459,36.524502,-92.751999,234,MO,12,Cornus,florida,flowering dogwood,Plantae,1273,501,Open flowers,2010,4,6,96,2455293,2,2010,4,25,115,2455312,174
1192,40.373085,-74.121124,42,NJ,12,Cornus,florida,flowering dogwood,Plantae,1659,180,>=75% of full leaf size (deciduous),2010,4,29,119,2455316,13,2010,4,29,119,2455316,-9999
1192,40.373085,-74.121124,42,NJ,12,Cornus,florida,flowering dogwood,Plantae,1659,186,Full flowering (50%),2010,4,16,106,2455303,6,2010,4,16,106,2455303,13
1192,40.373085,-74.121124,42,NJ,12,Cornus,florida,flowering dogwood,Plantae,1659,371,Breaking leaf buds,2010,4,4,94,2455291,-9999,2010,4,16,106,2455303,13
1192,40.373085,-74.121124,42,NJ,12,Cornus,florida,flowering dogwood,Plantae,1659,483,Leaves,2010,4,8,98,2455295,4,2010,4,29,119,2455316,-9999
1192,40.373085,-74.121124,42,NJ,12,Cornus,florida,flowering dogwood,Plantae,1659,501,Open flowers,2010,4,8,98,2455295,4,2010,4,16,106,2455303,13
1274,47.754948,-122.357971,98,WA,11,Cornus,canadensis,bunchberry dogwood,Plantae,1847,201,Open flowers (1 location),2010,1,25,25,2455222,-9999,2010,3,15,74,2455271,7
1274,47.754948,-122.357971,98,WA,11,Cornus,canadensis,bunchberry dogwood,Plantae,1847,201,Open flowers (1 location),2010,4,19,109,2455306,7,2010,6,14,165,2455362,10
1274,47.754948,-122.357971,98,WA,11,Cornus,canadensis,bunchberry dogwood,Plantae,1847,201,Open flowers (1 location),2010,8,9,221,2455418,7,2010,8,23,235,2455432,7
1274,47.754948,-122.357971,98,WA,11,Cornus,canadensis,bunchberry dogwood,Plantae,1847,201,Open flowers (1 location),2010,9,27,270,2455467,28,2010,9,27,270,2455467,7
1274,47.754948,-122.357971,98,WA,11,Cornus,canadensis,bunchberry dogwood,Plantae,1847,201,Open flowers (1 location),2010,10,11,284,2455481,7,2010,12,7,341,2455538,-9999
1274,47.754948,-122.357971,98,WA,11,Cornus,canadensis,bunchberry dogwood,Plantae,1847,202,Ripe fruits (1 location),2010,7,26,207,2455404,6,2010,7,26,207,2455404,7
1274,47.754948,-122.357971,98,WA,11,Cornus,canadensis,bunchberry dogwood,Plantae,1847,232,Emerging leaves (1 location),2010,2,22,53,2455250,7,2010,5,17,137,2455334,7
1274,47.754948,-122.357971,98,WA,11,Cornus,canadensis,bunchberry dogwood,Plantae,1847,233,"Young unfolded leaves (evergreen, 1 location)",2010,1,25,25,2455222,-9999,2010,6,24,175,2455372,4
637,44.34095,-72.46122,518,VT,11,Cornus,canadensis,bunchberry dogwood,Plantae,1928,201,Open flowers (1 location),2010,5,23,143,2455340,7,2010,5,30,150,2455347,-9999
637,44.34095,-72.46122,518,VT,11,Cornus,canadensis,bunchberry dogwood,Plantae,1928,232,Emerging leaves (1 location),2010,4,11,101,2455298,3,2010,5,30,150,2455347,-9999
